PPE,Ranking,component,parameter name,module,parameter description,scale_fact,min,max,default,ndigits,sampling,input_type,interdependent_with,last_edited,Logic,Justification,Documentation
Which PPE does the parameter belong to ,Priority / importance of parameter ,component name (used to assign the parameter to a component namelist file),name of parameter,,short description of the parameter,scaling factor instead of min-max range,lower bound for sampling,upper bound for sampling,default value for the parameter in the model version,number of digits to consider when sampling i.e. resolution of sampling,scale for parameter dimension linear/log_10,Specifies how the parameter is passed to the model,,date of the day when the parameter default and ranges was last set,The purpose of the parameter,"choice of range,  the reason it needs to be tuned and/or expected effect of tuning.",Link to documentation and/or publication(s)
Clouds,5,CAM,micro_mg_dcs,MG2,Autoconversion size threshold ice-snow [m],,0.0002,0.001,0.0007,"5,00",linear,namelist,,,"Threshold diameter to convert cloud ice particles to snow. Smaller dcs cause less ice in the clouds and lower LWCS. Larger dcs cause more ice in the clouds and larger LWCF. 
",""".. the parameter micro_mg_dcs is still important for the LWRE in the tropics. This is not surprising since it has a large impact on cirrus clouds."" Eidhammer 2024",
Clouds,,CAM,zmconv_c0_ocn,ZM,,,0.002,0.05,0.0075,,,namelist,,,,,
Clouds,10,CAM,zmconv_tiedke_add,ZM,Convective parcel temperature perturbation [K],,"0,00","2,00",0.5,"2,00",linear,namelist,,,"convective parcel temperature perturbation, where a higher value means more buoyant parcels and deeper convection.","The deep convection parameter that impacts radiation outputs the most is the convective parcel temperature perturbation (zmconv_tiedke_add), and this is especially true in the tropics.",
Clouds,7,CAM,clubb_C8,CLUBB,Coef. #1 in C8 skewness Equation [ - ],,2.5,"6,00","5,00","2,00",linear,namelist,,,"Tuning parameter for skewness of vertical velocity. Large/positive values tend to be associated with Cu clouds, while small/negative values tend to be associated with Sc clouds. Turning this up decreases the skewness and increases the brightness of clouds.",,
Ocean,10,BLOM,CE,0.,Efficiency factor of submesoscale restratification [-],,0.03,0.1,0.06,"3,00",linear,namelist,,,"Increased value strengthens restratifying shallow submesoscale driven overturning, which typically reduces ocean surface boundary layer depth.",,
Ocean,7,BLOM,EGC,,Efficiency factor for mesoscale eddy diffusivity [-],,1.5,"3,00","2,00","1,00",linear,namelist,,,Increased value strengthens overall mesoscale driven diffusivities,,
Ocean,7,BLOM,EGIDFQ,,Ratio neutral/thickness eddy diffusivity [-],,0.6,1.5,0.8,"2,00",linear,namelist,,,,,
Land,,CLM,d_max,CTSM,Maximum dry surface layer (DSL) thickness,,10.00,60.00,15.00,"2,00",linear,parameter_file,,,"The dry surface layer is an insulating layer at the top of the soil, reducing evaporation","The DSL parameters are poorly constrained, but has a large effect on evaporation and temerature. ","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024GL108372
https://doi.org/10.1002/2014JD022314"
Land,,CLM,frac_sat_soil_dsl_init,CTSM,Fractional soil moist. at which DSL initiates,,0.5,"1,00",0.8,"2,00",linear,parameter_file,d_max,,Large control over dryland ET ,The two soil layers ,
Land,,CLM ,fates_leaf_stomatal_slope_medlyn,FATES,Slope of the stomatal conductance model. ,0.2,,,,,linear,parameter_file,d_max,,Primary control over plant evaporation ,,
Land,,CLM,fates_mort_hf_sm_threshold,FATES,Soil moisture threshold for drought-induced plant mortality,0.2,,,,,linear,parameter_file,,,Including this as a potential lever on how much the amazon can tolrate low rainfall.,,
Land,,CLM,fates_turb_z0mr,FATES,Roughness length scalar,,0.000,0.077,0.033,,linear,parameter_file,,,Possible impact on atmospheric coupling & precip. ,,
Ice,,CICE,phi_i_mushy,,Freezing rate under ice,,0.25,0.95,0.85,"2,00",linear,namelist,,,The standard value used in the model overestimate ice growth. One new value suggested in litterature (0.45),,